vehicle_count_requested,vehicle_index,vehicle_id,k_anon_target,fake_set_cap,obfuscation_radius_m,real_anon_radius_m,strict_current_position_radius_enforced,strict_future_path_radius_enforced,horizon_mode,run_ended_reason,target_alive_steps,target_stall_steps_at_end,mean_horizon_edges_lifetime,rows,vehicles_observed,mean_k_real,mean_k_fake,mean_k_combined,mean_delta_k_vs_real,mean_h_real,mean_h_fake,mean_h_combined,mean_k_traj_real,mean_k_traj_fake,mean_k_traj_combined,mean_delta_k_traj_vs_real,mean_h_traj_real,mean_h_traj_fake,mean_h_traj_combined,mean_true_to_fake_div,mean_pairwise_fake_div,mean_pairwise_combined_div,route_png,nnpda_tracking_success_rate,nnpda_full_trace_recovery,nnpda_time_to_first_error_step,nnpda_time_to_first_error_s,nnpda_longest_true_streak,jpda_tracking_success_rate,jpda_full_trace_recovery,jpda_time_to_first_error_step,jpda_time_to_first_error_s,jpda_longest_true_streak,mht_tracking_success_rate,mht_full_trace_recovery,mht_time_to_first_error_step,mht_time_to_first_error_s,mht_longest_true_streak,mm_hmm_tracking_success_rate,mm_hmm_full_trace_recovery,mm_hmm_time_to_first_error_step,mm_hmm_time_to_first_error_s,mm_hmm_longest_true_streak
1,149,157,5,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,734,0,30.0,734,1,0.0,5.0,0.0,0.0,0.0,1.609438,0.0,0.0,4.43733,0.0,0.0,0.0,1.418236,0.0,0.425681,0.335504,0.0,,0.250681,0,-1,-1,0,0.339237,0,-1,-1,0,0.205722,0,-1,-1,0,0.178474,0,-1,-1,0
1,149,157,10,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,734,0,30.0,734,1,0.0,10.0,0.0,0.0,0.0,2.302585,0.0,0.0,9.027248,0.0,0.0,0.0,2.092034,0.0,0.441891,0.289299,0.0,,0.132153,0,-1,-1,0,0.279292,0,-1,-1,0,0.132153,0,-1,-1,0,0.107629,0,-1,-1,0
1,149,157,15,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,734,0,30.0,734,1,0.0,15.0,0.0,0.0,0.0,2.70805,0.0,0.0,13.52861,0.0,0.0,0.0,2.470777,0.0,0.442306,0.268871,0.0,,0.070845,0,-1,-1,0,0.19346,0,-1,-1,0,0.087193,0,-1,-1,0,0.177112,0,-1,-1,0
1,149,157,20,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,734,0,30.0,734,1,0.0,20.0,0.0,0.0,0.0,2.995732,0.0,0.0,17.993188,0.0,0.0,0.0,2.732949,0.0,0.434519,0.261551,0.0,,0.162125,0,-1,-1,0,0.208447,0,-1,-1,0,0.083106,0,-1,-1,0,0.171662,0,-1,-1,0
1,149,157,50,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,734,0,30.0,734,1,0.0,50.0,0.0,0.0,0.0,3.912023,0.0,0.0,43.637602,0.0,0.0,0.0,3.508639,0.0,0.405195,0.248318,0.0,/home/panagiotis/Desktop/ESORICS3SIM/PORTO/outputs/route_map_v149_k50.png,0.088556,0,-1,-1,0,0.103542,0,-1,-1,0,0.014986,0,-1,-1,0,0.024523,0,-1,-1,0
1,150,158,5,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,411,0,25.0,411,1,0.0,5.0,0.0,0.0,0.0,1.609438,0.0,0.0,4.350365,0.0,0.0,0.0,1.381273,0.0,0.547956,0.408688,0.0,,0.328467,0,-1,-1,0,0.218978,0,-1,-1,0,0.350365,0,-1,-1,0,0.175182,0,-1,-1,0
1,150,158,10,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,411,0,25.0,411,1,0.0,10.0,0.0,0.0,0.0,2.302585,0.0,0.0,8.746959,0.0,0.0,0.0,2.024939,0.0,0.574512,0.330685,0.0,,0.304136,0,-1,-1,0,0.104623,0,-1,-1,0,0.311436,0,-1,-1,0,0.323601,0,-1,-1,0
1,150,158,15,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,411,0,25.0,411,1,0.0,15.0,0.0,0.0,0.0,2.70805,0.0,0.0,13.145985,0.0,0.0,0.0,2.395844,0.0,0.581662,0.309643,0.0,,0.026764,0,-1,-1,0,0.177616,0,-1,-1,0,0.029197,0,-1,-1,0,0.065693,0,-1,-1,0
1,150,158,20,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,411,0,25.0,411,1,0.0,20.0,0.0,0.0,0.0,2.995732,0.0,0.0,17.571776,0.0,0.0,0.0,2.659264,0.0,0.583501,0.296994,0.0,,0.012165,0,-1,-1,0,0.189781,0,-1,-1,0,0.019465,0,-1,-1,0,0.058394,0,-1,-1,0
1,150,158,50,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,411,0,25.0,411,1,0.0,49.844282,0.0,0.0,0.0,3.907959,0.0,0.0,44.021898,0.0,0.0,0.0,3.488451,0.0,0.578808,0.286969,0.0,/home/panagiotis/Desktop/ESORICS3SIM/PORTO/outputs/route_map_v150_k50.png,0.002433,0,-1,-1,0,0.094891,0,-1,-1,0,0.004866,0,-1,-1,0,0.019465,0,-1,-1,0
